    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560     49.0      2.11990000      0.04016600     -0.12672000      2.11995427      0.04526825     -0.12606368      0.00005427      0.00510225      0.00065632
 7.64560     50.0      2.11990000      0.03194800     -0.11417000      2.11993085      0.03680160     -0.11367655      0.00003085      0.00485360      0.00049345
 7.64560     51.0      2.11990000      0.02460400     -0.10109000      2.11991045      0.02920574     -0.10073800      0.00001045      0.00460174      0.00035200
 7.64560     52.0      2.11990000      0.01816800     -0.08753900      2.11990698      0.02252236     -0.08730451      0.00000698      0.00435436      0.00023449
 7.64560     53.0      2.11990000      0.01267100     -0.07358000      2.11992152      0.01679183     -0.07343749      0.00002152      0.00412083      0.00014251
 7.64560     54.0      2.11990000      0.00813840     -0.05927900      2.11993325      0.01204969     -0.05920286      0.00003325      0.00391129      0.00007614
 7.64560     55.0      2.11990000      0.00459070     -0.04470300      2.11994226      0.00832646     -0.04466937      0.00004226      0.00373576      0.00003363
 7.64560     56.0      2.11990000      0.00204460     -0.02991900      2.11994863      0.00564779     -0.02990736      0.00004863      0.00360319      0.00001164
 7.64560     57.0      2.11990000      0.00051198     -0.01499500      2.11995243      0.00403262     -0.01498964      0.00005243      0.00352064      0.00000536
 7.64560     58.0      2.11990000      0.00000000     -0.00000185      2.11995369      0.00349261      0.00000297      0.00005369      0.00349261      0.00000482
 7.64560     59.0      2.11990000      0.00051102      0.01499100      2.11995243      0.00403166      0.01499632      0.00005243      0.00352064      0.00000532
 7.64560     60.0      2.11990000      0.00204270      0.02991500      2.11994863      0.00564589      0.02992645      0.00004863      0.00360319      0.00001145
 7.64560     61.0      2.11990000      0.00458780      0.04470000      2.11994226      0.00832356      0.04473340      0.00004226      0.00373576      0.00003340
 7.64560     62.0      2.11990000      0.00813460      0.05927600      2.11993325      0.01204590      0.05935189      0.00003325      0.00391130      0.00007589
 7.64560     63.0      2.11990000      0.01266700      0.07357700      2.11992152      0.01678784      0.07371925      0.00002152      0.00412084      0.00014225
 7.64560     64.0      2.11990000      0.01816300      0.08753600      2.11990698      0.02251738      0.08777021      0.00000698      0.00435438      0.00023421
 7.64560     65.0      2.11990000      0.02459700      0.10109000      2.11991045      0.02919877      0.10144171      0.00001045      0.00460177      0.00035171
 7.64560     66.0      2.11990000      0.03194100      0.11417000      2.11993085      0.03679464      0.11466314      0.00003085      0.00485364      0.00049314
 7.64560     67.0      2.11990000      0.04015800      0.12672000      2.11995427      0.04526029      0.12737600      0.00005427      0.00510229      0.00065600
 7.64560     68.0      2.11990000      0.04921200      0.13868000      2.11998072      0.05455414      0.13951760      0.00008072      0.00534214      0.00083760
 7.64560     69.0      2.11990000      0.05906100      0.15000000      2.12001014      0.06463089      0.15103584      0.00011014      0.00556989      0.00103584
 7.64560     70.0      2.10490000      0.05907000     -0.15000000      2.10501016      0.06458714     -0.14897057      0.00011016      0.00551714      0.00102943
 7.64560     71.0      2.10490000      0.04922100     -0.13868000      2.10498071      0.05451128     -0.13784807      0.00008071      0.00529028      0.00083193
 7.64560     72.0      2.10490000      0.04016600     -0.12672000      2.10495427      0.04521745     -0.12606890      0.00005427      0.00505145      0.00065110
 7.64560     73.0      2.10490000      0.03194800     -0.11417000      2.10493085      0.03675216     -0.11368088      0.00003085      0.00480416      0.00048912
 7.64560     74.0      2.10490000      0.02460400     -0.10109000      2.10491045      0.02915799     -0.10074135      0.00001045      0.00455399      0.00034865
 7.64560     75.0      2.10490000      0.01816800     -0.08753900      2.10490698      0.02247656     -0.08730691      0.00000698      0.00430856      0.00023209
 7.64560     76.0      2.10490000      0.01267100     -0.07358000      2.10492151      0.01674803     -0.07343907      0.00002151      0.00407703      0.00014093
 7.64560     77.0      2.10490000      0.00813840     -0.05927900      2.10493324      0.01200777     -0.05920380      0.00003324      0.00386937      0.00007520
 7.64560     78.0      2.10490000      0.00459070     -0.04470300      2.10494226      0.00828615     -0.04466987      0.00004226      0.00369545      0.00003313
 7.64560     79.0      2.10490000      0.00204460     -0.02991900      2.10494863      0.00560872     -0.02990760      0.00004863      0.00356412      0.00001140
 7.64560     80.0      2.10490000      0.00051198     -0.01499500      2.10495243      0.00399432     -0.01498974      0.00005243      0.00348234      0.00000526
 7.64560     81.0      2.10490000      0.00000000     -0.00000185      2.10495369      0.00345456      0.00000289      0.00005369      0.00345456      0.00000474
 7.64560     82.0      2.10490000      0.00051102      0.01499100      2.10495243      0.00399336      0.01499622      0.00005243      0.00348234      0.00000522
 7.64560     83.0      2.10490000      0.00204270      0.02991500      2.10494863      0.00560682      0.02992621      0.00004863      0.00356412      0.00001121
 7.64560     84.0      2.10490000      0.00458780      0.04470000      2.10494226      0.00828325      0.04473290      0.00004226      0.00369545      0.00003290
 7.64560     85.0      2.10490000      0.00813460      0.05927600      2.10493324      0.01200397      0.05935095      0.00003324      0.00386937      0.00007495
 7.64560     86.0      2.10490000      0.01266700      0.07357700      2.10492151      0.01674404      0.07371767      0.00002151      0.00407704      0.00014067
 7.64560     87.0      2.10490000      0.01816300      0.08753600      2.10490698      0.02247158      0.08776781      0.00000698      0.00430858      0.00023181
 7.64560     88.0      2.10490000      0.02459700      0.10109000      2.10491045      0.02915101      0.10143836      0.00001045      0.00455401      0.00034836
 7.64560     89.0      2.10490000      0.03194100      0.11417000      2.10493085      0.03674519      0.11465882      0.00003085      0.00480419      0.00048882
 7.64560     90.0      2.10490000      0.04015800      0.12672000      2.10495427      0.04520949      0.12737078      0.00005427      0.00505149      0.00065078
 7.64560     91.0      2.10490000      0.04921200      0.13868000      2.10498071      0.05450233      0.13951160      0.00008071      0.00529033      0.00083160
 7.64560     92.0      2.10490000      0.05906100      0.15000000      2.10501016      0.06457821      0.15102908      0.00011016      0.00551721      0.00102908
 7.64560     93.0      2.08990000      0.05907000     -0.15000000      2.09001018      0.06453400     -0.14897769      0.00011018      0.00546400      0.00102231
 7.64560     94.0      2.08990000      0.04922100     -0.13868000      2.08998071      0.05445925     -0.13785422      0.00008071      0.00523825      0.00082578
 7.64560     95.0      2.08990000      0.04016600     -0.12672000      2.08995426      0.04516671     -0.12607409      0.00005426      0.00500071      0.00064591
 7.64560     96.0      2.08990000      0.03194800     -0.11417000      2.08993085      0.03670294     -0.11368506      0.00003085      0.00475494      0.00048494
 7.64560     97.0      2.08990000      0.02460400     -0.10109000      2.08991045      0.02911063     -0.10074450      0.00001045      0.00450663      0.00034550
 7.64560     98.0      2.08990000      0.01816800     -0.08753900      2.08990698      0.02243128     -0.08730908      0.00000698      0.00426328      0.00022992
