    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 2.78879      1.0      2.15000000      0.05907000     -0.15000000      2.15006362      0.06971164     -0.14494004      0.00006362      0.01064164      0.00505996
 2.78879      2.0      2.15000000      0.04922100     -0.13868000      2.15003368      0.05908857     -0.13429373      0.00003368      0.00986757      0.00438627
 2.78879      3.0      2.15000000      0.04016600     -0.12672000      2.15000983      0.04921107     -0.12295638      0.00000983      0.00904507      0.00376362
 2.78879      4.0      2.15000000      0.03194800     -0.11417000      2.15000830      0.04012213     -0.11097672      0.00000830      0.00817413      0.00319328
 2.78879      5.0      2.15000000      0.02460400     -0.10109000      2.15002057      0.03186091     -0.09841170      0.00002057      0.00725691      0.00267830
 2.78879      6.0      2.15000000      0.01816800     -0.08753900      2.15002772      0.02446572     -0.08531627      0.00002772      0.00629772      0.00222273
 2.78879      7.0      2.15000000      0.01267100     -0.07358000      2.15003032      0.01797335     -0.07174933      0.00003032      0.00530235      0.00183067
 2.78879      8.0      2.15000000      0.00813840     -0.05927900      2.15002904      0.01241549     -0.05777339      0.00002904      0.00427709      0.00150561
 2.78879      9.0      2.15000000      0.00459070     -0.04470300      2.15002460      0.00781921     -0.04345271      0.00002460      0.00322851      0.00125029
 2.78879     10.0      2.15000000      0.00204460     -0.02991900      2.15001778      0.00420773     -0.02885233      0.00001778      0.00216313      0.00106667
 2.78879     11.0      2.15000000      0.00051198     -0.01499500      2.15000938      0.00160021     -0.01403899      0.00000938      0.00108823      0.00095601
 2.78879     12.0      2.15000000      0.00000000     -0.00000185      2.15000151      0.00010632      0.00091718      0.00000151      0.00010632      0.00091903
 2.78879     13.0      2.15000000      0.00051102      0.01499100      2.15000938      0.00159931      0.01594695      0.00000938      0.00108829      0.00095595
 2.78879     14.0      2.15000000      0.00204270      0.02991500      2.15001778      0.00420590      0.03098153      0.00001778      0.00216320      0.00106653
 2.78879     15.0      2.15000000      0.00458780      0.04470000      2.15002460      0.00781639      0.04595009      0.00002460      0.00322859      0.00125009
 2.78879     16.0      2.15000000      0.00813460      0.05927600      2.15002904      0.01241178      0.06078134      0.00002904      0.00427718      0.00150534
 2.78879     17.0      2.15000000      0.01266700      0.07357700      2.15003032      0.01796945      0.07540733      0.00003032      0.00530245      0.00183033
 2.78879     18.0      2.15000000      0.01816300      0.08753600      2.15002772      0.02446088      0.08975833      0.00002772      0.00629788      0.00222233
 2.78879     19.0      2.15000000      0.02459700      0.10109000      2.15002057      0.03185408      0.10376783      0.00002057      0.00725708      0.00267783
 2.78879     20.0      2.15000000      0.03194100      0.11417000      2.15000830      0.04011533      0.11736276      0.00000830      0.00817433      0.00319276
 2.78879     21.0      2.15000000      0.04015800      0.12672000      2.15000983      0.04920330      0.13048304      0.00000983      0.00904530      0.00376304
 2.78879     22.0      2.15000000      0.04921200      0.13868000      2.15003368      0.05907985      0.14306564      0.00003368      0.00986785      0.00438564
 2.78879     23.0      2.15000000      0.05906100      0.15000000      2.15006362      0.06970295      0.15505928      0.00006362      0.01064195      0.00505928
