    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
    67.0   0.0000152858   0.0025938335   0.0009590161   2.1199152858   0.0427518335   0.1276790161
    68.0   0.0000231784   0.0028067495   0.0011243468   2.1199231784   0.0520187495   0.1398043468
    69.0   0.0000331141   0.0030090252   0.0013045122   2.1199331141   0.0620700252   0.1513045122
    70.0   0.0000331261   0.0029820725   0.0012943072   2.1049331261   0.0620520725  -0.1487056928
    71.0   0.0000231756   0.0027806183   0.0011148639   2.1049231756   0.0520016183  -0.1375651361
    72.0   0.0000152843   0.0025687197   0.0009503224   2.1049152843   0.0427347197  -0.1257696776
    73.0   0.0000098603   0.0023478408   0.0008013989   2.1049098603   0.0342958408  -0.1133686011
    74.0   0.0000077028   0.0021201274   0.0006688695   2.1049077028   0.0267241274  -0.1004211305
    75.0   0.0000084407   0.0018886530   0.0005534514   2.1049084407   0.0200566530  -0.0869855486
    76.0   0.0000100857   0.0016578100   0.0004557028   2.1049100857   0.0143288100  -0.0731242972
    77.0   0.0000115446   0.0014339285   0.0003759405   2.1049115446   0.0095723285  -0.0589030595
    78.0   0.0000125749   0.0012265253   0.0003142275   2.1049125749   0.0058172253  -0.0443887725
    79.0   0.0000132073   0.0010503916   0.0002704270   2.1049132073   0.0030949916  -0.0296485730
    80.0   0.0000135340   0.0009273786   0.0002442982   2.1049135340   0.0014393586  -0.0147507018
    81.0   0.0000136331   0.0008823273   0.0002356145   2.1049136331   0.0008823274   0.0002337632
    82.0   0.0000135340   0.0009273829   0.0002442819   2.1049135340   0.0014384029   0.0152352819
    83.0   0.0000132073   0.0010504001   0.0002703939   2.1049132073   0.0030931001   0.0301853939
    84.0   0.0000125749   0.0012265379   0.0003141771   2.1049125749   0.0058143379   0.0450141771
    85.0   0.0000115446   0.0014339463   0.0003758722   2.1049115446   0.0095685463   0.0596518722
    86.0   0.0000100857   0.0016578340   0.0004556163   2.1049100857   0.0143248340   0.0740326163
    87.0   0.0000084407   0.0018886839   0.0005533475   2.1049084407   0.0200516839   0.0880893475
    88.0   0.0000077029   0.0021201646   0.0006687486   2.1049077029   0.0267171646   0.1017587486
    89.0   0.0000098603   0.0023478892   0.0008012615   2.1049098603   0.0342888892   0.1149712615
    90.0   0.0000152843   0.0025687767   0.0009501697   2.1049152843   0.0427267767   0.1276701697
    91.0   0.0000231755   0.0027806856   0.0011146965   2.1049231755   0.0519926856   0.1397946965
    92.0   0.0000331261   0.0029821517   0.0012941256   2.1049331261   0.0620431517   0.1512941256
    93.0   0.0000331393   0.0029547408   0.0012835288   2.0899331393   0.0620247408  -0.1487164712
    94.0   0.0000231730   0.0027543213   0.0011050260   2.0899231730   0.0519753213  -0.1375749740
    95.0   0.0000152817   0.0025436139   0.0009414272   2.0899152817   0.0427096139  -0.1257785728
    96.0   0.0000098601   0.0023241908   0.0007935085   2.0899098601   0.0342721908  -0.1133764915
    97.0   0.0000077023   0.0020982662   0.0006620436   2.0899077023   0.0267022662  -0.1004279564
    98.0   0.0000084393   0.0018688724   0.0005476866   2.0899084393   0.0200368724  -0.0869913134
    99.0   0.0000100845   0.0016402820   0.0004509138   2.0899100845   0.0143112820  -0.0731290862
   100.0   0.0000115438   0.0014186782   0.0003719827   2.0899115438   0.0095570782  -0.0589070173
   101.0   0.0000125746   0.0012134189   0.0003109244   2.0899125746   0.0058041189  -0.0443920756
   102.0   0.0000132072   0.0010391095   0.0002675920   2.0899132072   0.0030837095  -0.0296514080
   103.0   0.0000135340   0.0009173640   0.0002417436   2.0899135340   0.0014293440  -0.0147532564
   104.0   0.0000136332   0.0008727747   0.0002331531   2.0899136332   0.0008727748   0.0002313016
   105.0   0.0000135340   0.0009173682   0.0002417275   2.0899135340   0.0014283882   0.0152327275
   106.0   0.0000132072   0.0010391179   0.0002675593   2.0899132072   0.0030818179   0.0301825593
   107.0   0.0000125746   0.0012134313   0.0003108745   2.0899125746   0.0058012313   0.0450108745
   108.0   0.0000115439   0.0014186957   0.0003719151   2.0899115439   0.0095532957   0.0596479151
   109.0   0.0000100845   0.0016403056   0.0004508290   2.0899100845   0.0143073056   0.0740278290
   110.0   0.0000084393   0.0018689026   0.0005475835   2.0899084393   0.0200319026   0.0880835835
